Architecture    Offer                   Publisher                Sku                         Urn                                                                                   Version
x64             Windows-10              MicrosoftWindowsDesktop  rs5-pro-zh-cn-g2            MicrosoftWindowsDesktop:Windows-10:rs5-pro-zh-cn-g2:17763.1518.2010132039             17763.1518.2010132039
x64             Windows-10              MicrosoftWindowsDesktop  rs5-pro-zh-cn-g2            MicrosoftWindowsDesktop:Windows-10:rs5-pro-zh-cn-g2:17763.1577.2011031610             17763.1577.2011031610
x64             Windows-10              MicrosoftWindowsDesktop  rs5-pron-g2                 MicrosoftWindowsDesktop:Windows-10:rs5-pron-g2:17763.1518.2010132039                  17763.1518.2010132039
x64             Windows-10              MicrosoftWindowsDesktop  rs5-pron-g2                 MicrosoftWindowsDesktop:Windows-10:rs5-pron-g2:17763.1577.2011031610                  17763.1577.2011031610
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-avd              MicrosoftWindowsDesktop:Windows-10:win10-21h2-avd:19044.4412.240510                   19044.4412.240510
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-avd              MicrosoftWindowsDesktop:Windows-10:win10-21h2-avd:19044.4529.240607                   19044.4529.240607
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-avd-g2           MicrosoftWindowsDesktop:Windows-10:win10-21h2-avd-g2:19044.4412.240510                19044.4412.240510
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-avd-g2           MicrosoftWindowsDesktop:Windows-10:win10-21h2-avd-g2:19044.4529.240607                19044.4529.240607
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent              MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent:19044.2130.221006                   19044.2130.221006
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent              MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent:19044.4412.240510                   19044.4412.240510
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent              MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent:19044.4529.240607                   19044.4529.240607
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-g2           MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-g2:19044.4412.240510                19044.4412.240510
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-g2           MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-g2:19044.4529.240607                19044.4529.240607
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc         MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc:19044.5371.250112              19044.5371.250112
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc         MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc:19044.5487.250210              19044.5487.250210
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc         MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc:19044.5608.250305              19044.5608.250305
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc         MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc:19044.5737.250407              19044.5737.250407
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc         MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc:19044.5854.250509              19044.5854.250509
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc         MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc:19044.5859.250525              19044.5859.250525
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc-g2      MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc-g2:19044.5371.250112           19044.5371.250112
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc-g2      MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc-g2:19044.5487.250210           19044.5487.250210
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc-g2      MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc-g2:19044.5608.250305           19044.5608.250305
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc-g2      MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc-g2:19044.5737.250407           19044.5737.250407
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc-g2      MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc-g2:19044.5854.250509           19044.5854.250509
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-ent-ltsc-g2      MicrosoftWindowsDesktop:Windows-10:win10-21h2-ent-ltsc-g2:19044.5859.250525           19044.5859.250525
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn             MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn:19044.2130.221006                  19044.2130.221006
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn             MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn:19044.4412.240510                  19044.4412.240510
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn             MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn:19044.4529.240607                  19044.4529.240607
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-g2          MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-g2:19044.4412.240510               19044.4412.240510
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-g2          MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-g2:19044.4529.240607               19044.4529.240607
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc        MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc:19044.5371.250112             19044.5371.250112
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc        MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc:19044.5487.250210             19044.5487.250210
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc        MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc:19044.5608.250305             19044.5608.250305
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc        MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc:19044.5737.250407             19044.5737.250407
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc        MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc:19044.5854.250509             19044.5854.250509
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc        MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc:19044.5859.250525             19044.5859.250525
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc-g2     MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc-g2:19044.5371.250112          19044.5371.250112
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc-g2     MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc-g2:19044.5487.250210          19044.5487.250210
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc-g2     MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc-g2:19044.5608.250305          19044.5608.250305
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc-g2     MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc-g2:19044.5737.250407          19044.5737.250407
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc-g2     MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc-g2:19044.5854.250509          19044.5854.250509
x64             Windows-10              MicrosoftWindowsDesktop  win10-21h2-entn-ltsc-g2     MicrosoftWindowsDesktop:Windows-10:win10-21h2-entn-ltsc-g2:19044.5859.250525          19044.5859.250525
